GUID 55f7abd5a3834a64bb87ee265b20bd13
Blueprint_19_Supply_1_Amount 4
Blueprint_19_Product 90
Blueprint_19_Products 4
Blueprint_19_Tool 1030
Blueprint_19_Level 2
Blueprint_19_Skill Cook
Blueprint_19_Build 27

//袋装薯条
Blueprint_20_Type Supply
Blueprint_20_Supplies 2
Blueprint_20_Supply_0_ID 66
Blueprint_20_Supply_0_Amount 5
Blueprint_20_Supply_1_ID 42130
Blueprint_20_Supply_1_Amount 3
Blueprint_20_Product 82
Blueprint_20_Products 4
Blueprint_20_Tool 1030
Blueprint_20_Level 2
Blueprint_20_Skill Cook
Blueprint_20_Build 27

//意大利面
Blueprint_21_Type Supply
Blueprint_21_Supplies 3
Blueprint_21_Supply_0_ID 72
Blueprint_21_Supply_0_Amount 1
Blueprint_21_Supply_1_ID 42305
Blueprint_21_Supply_1_Amount 3
Blueprint_21_Supply_2_ID 340
Blueprint_21_Supply_2_Amount 1
Blueprint_21_Product 87
Blueprint_21_Products 4
Blueprint_21_Tool 1030
Blueprint_21_Level 2
Blueprint_21_Skill Cook
Blueprint_21_Build 27

//苏打水制作

Blueprint_22_Type Supply
Blueprint_22_Supplies 1
Blueprint_22_Supply_0_ID 473
Blueprint_22_Supply_0_Amount 1
Blueprint_22_Supply_1_ID 72
Blueprint_22_Supply_1_Amount 1
Blueprint_22_Product 465
Blueprint_22_Products 2
Blueprint_22_Build 27

Blueprint_23_Type Tool
Blueprint_23_Supplies 1
Blueprint_23_Supply_0_ID 472
Blueprint_23_Supply_0_Amount 1
Blueprint_23_Supply_1_ID 72
Blueprint_23_Supply_1_Amount 1
Blueprint_23_Product 80
Blueprint_23_Products 2
Blueprint_23_Build 27


Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Backpacks/Alicepack
Exclude_From_Master_Bundle
